x,y,a,b
5,45,1,0
2,50,2,0.787960
5,47,3,1.098612
5,46,4,1.386294
0,46,5,1.609438
5,55,6,1.791759
1,54,7,1.94591
0,46,8,2.079442
2,52,9,2.197225
1,51,10,2.302585
3,54,11,2.397895
0,53,12,2.484907
2,55,13,2.564949
3,49,14,2.639057
0,48,15,2.70805
2,49,16,2.772589
1,53,17,2.833213
1,45,18,2.890372
3,51,19,2.944439
5,50,20,2.995732
3,51,19,2.944439
5,50,20,2.995732
98,47,21,3.044522
98,53,22,3.091042
99,49,23,3.135494
96,49,24,3.178054
100,51,25,3.218876
99,57,26,3.258097
98,53,27,3.295837
98,52,28,3.332205
96,55,29,3.367296
96,58,30,3.401197
98,49,31,3.433987
98,49,32,3.465736
99,42,33,3.496508
96,50,34,3.526361
97,16368,35,3.555348
96,60,36,3.583519
97,50,37,3.610918
96,59,38,3.637586
99,49,39,3.663562
97,42,40,3.688879
99,41,41,3.713572
48,52,42,3.73767
45,52,43,3.7612
51,57,44,3.78419
